,Item,Location,Transaction.Date,Quantity,Price.Per.Unit,Transaction.ID,Total.Spent,Payment.Method
43,Tea,Takeaway,01-10-2023,2,5,TXN_6650263,TRUE,Cash
44,Juice,Takeaway,10-02-2023,4,3,TXN_9620080,FALSE,Cash
45,Cookie,Takeaway,2/23/2023,2,1,TXN_1491578,FALSE,Cash
46,Salad,Takeaway,3/22/2023,3,5,TXN_5455792,FALSE,Cash
47,Juice,In-store,11-03-2023,4,3,TXN_8078640,FALSE,Digital Wallet
48,Juice,Takeaway,03-02-2023,5,3,TXN_9499313,FALSE,Cash
49,Juice,Takeaway,6/26/2023,5,3,TXN_8201146,FALSE,Cash
50,Cake,In-Store,05-02-2023,3,3,TXN_8230936,TRUE,Cash
51,Cake,Takeaway,09-05-2023,5,3,TXN_7742742,FALSE,Cash
52,Salad,Takeaway,01-08-2023,5,5,TXN_6342161,TRUE,Gpay
53,hot chocolate,Takeaway,3/15/2023,5,5,TXN_8914892,TRUE,Digital Wallet
54,Smoothie,Takeaway,11/25/2023,3,4,TXN_3363746,FALSE,Credit Card
55,Smoothie,Takeaway,12-05-2023,5,4,TXN_8614868,FALSE,Digital Wallet
56,Cookie,Takeaway,3/19/2023,5,1,TXN_5522862,FALSE,Credit Card
57,Cake,Takeaway,6/27/2023,5,3.394257204,TXN_3578141,FALSE,Cash
58,Cake,In-store,4/19/2023,1,3,TXN_2080895,TRUE,Digital Wallet
59,Sandwich,Takeaway,11-03-2023,4,4,TXN_6421134,FALSE,Cash
60,Juice,In-store,10-07-2023,5,3,TXN_8813311,FALSE,Cash
61,Salad,Takeaway,9/30/2023,1,5,TXN_9023317,TRUE,Cash
62,fresh juice,In-store,10-09-2023,1,3,TXN_8051289,TRUE,Cash
63,Sandwich,Takeaway,5/27/2023,1,4,TXN_2537617,TRUE,Cash
64,hot chocolate,Takeaway,11/18/2023,3,5,TXN_9099694,FALSE,Cash
65,Smoothie,Takeaway,06-01-2023,4,4,TXN_9230615,FALSE,Digital Wallet
66,Sandwich,In-store,10/20/2023,3,3.394257204,TXN_4987129,FALSE,Cash
67,Juice,Takeaway,3/30/2023,3.027276415,3,TXN_8501819,TRUE,Cash
68,Cookie,Takeaway,10-03-2023,1,1,TXN_3068204,FALSE,Credit Card
69,Salad,In-store,10/27/2023,2,5,TXN_8427104,FALSE,Cash
70,black forest,In-store,04-06-2023,5,3,TXN_8471743,FALSE,Digital Wallet
71,Tea,In-store,3/22/2023,2,5,TXN_2621580,TRUE,Cash
72,Cake,In-store,1/31/2023,2,3,TXN_4726376,TRUE,Credit Card
73,fresh juice,In-store,12-08-2023,1,1,TXN_6044979,FALSE,Cash
74,Salad,In-Store,6/19/2023,2,5,TXN_4238417,FALSE,Cash
75,Smoothie,In-Store,12/14/2023,2,4,TXN_1900620,TRUE,Credit Card
76,Coffee,Takeaway,7/16/2023,1,2,TXN_6420335,FALSE,Cash
77,Sandwich,Takeaway,2/22/2023,4,4,TXN_3858209,FALSE,Cash
78,Salad,In-store,06-04-2023,1,5,TXN_2091733,TRUE,Cash
79,Tea,Takeaway,06-02-2023,5,5,TXN_8735480,FALSE,Cash
80,Juice,In-store,6/15/2023,4,3,TXN_3829165,FALSE,Cash
81,Coffee,In-store,12-09-2023,2,2,TXN_3748616,TRUE,Credit Card
82,Sandwich,In-store,4/18/2023,2,4,TXN_1993289,TRUE,Cash
83,Cookie,Takeaway,11-07-2023,2,1,TXN_2123367,FALSE,Cash
84,Cake,In-store,10/28/2023,3,3,TXN_5266394,TRUE,Cash
85,Cake,Takeaway,12/22/2023,4,3,TXN_5107946,FALSE,Credit Card
86,Tea,Takeaway,10/29/2023,3,3.394257204,TXN_8035512,TRUE,Cash
87,Cake,In-Store,4/30/2023,5,3,TXN_8718498,FALSE,Credit Card
88,Cookie,Takeaway,04-02-2023,5,1,TXN_3955361,TRUE,Cash
89,black forest,Takeaway,5/24/2023,1,5,TXN_9487821,TRUE,Digital Wallet
90,fresh juice,In-store,03-12-2023,5,1,TXN_4132730,TRUE,Cash
91,Tea,In-store,8/16/2023,2,5,TXN_8976658,TRUE,Credit Card
92,hot chocolate,In-store,10/28/2023,5,3,TXN_5455936,FALSE,Cash
93,Juice,Takeaway,09-10-2023,5,3,TXN_2725602,FALSE,Credit Card
94,Coffee,Takeaway,03-07-2023,3,2,TXN_3011323,TRUE,Credit Card
95,Juice,Takeaway,08-07-2023,3,3,TXN_6289610,TRUE,Cash
96,Salad,Takeaway,8/20/2023,3,5,TXN_8268061,FALSE,Gpay
97,Salad,In-store,06-10-2023,5,5,TXN_5220895,TRUE,Cash
98,Coffee,In-store,4/15/2023,4,2,TXN_3085509,TRUE,Digital Wallet
99,Juice,Takeaway,5/27/2023,4,3,TXN_9999113,FALSE,Cash
100,Coffee,In-store,7/25/2023,4,2,TXN_8779771,TRUE,Cash
101,fresh juice,Takeaway,10/30/2023,5,5,TXN_9517146,TRUE,Cash
102,Salad,Takeaway,10/28/2023,3,5,TXN_1621920,FALSE,Cash
103,Juice,Takeaway,12/15/2023,2,3,TXN_3808639,TRUE,Digital Wallet
104,Cake,Takeaway,06-10-2023,4,3,TXN_7028009,FALSE,Cash
105,Juice,Takeaway,06-04-2023,2,3.394257204,TXN_7447872,TRUE,Cash
106,Salad,In-store,2/25/2023,4,5,TXN_6955416,FALSE,Gpay
107,Cookie,Takeaway,04-03-2023,3,1,TXN_3775339,TRUE,Credit Card
108,Cookie,Takeaway,10-08-2023,3,1,TXN_9547091,TRUE,Credit Card
109,Cookie,Takeaway,12/28/2023,5,1,TXN_4358673,TRUE,Digital Wallet
110,Tea,Takeaway,8/30/2023,4,5,TXN_4174591,TRUE,Digital Wallet
111,Sandwich,In-store,02-03-2023,1,4,TXN_3398520,TRUE,Cash
112,Smoothie,Takeaway,09-12-2023,2,4,TXN_6171384,TRUE,Credit Card
113,Smoothie,Takeaway,4/27/2023,5,4,TXN_2530938,FALSE,Cash
114,Juice,Takeaway,05-04-2023,3,3,TXN_3314971,TRUE,Digital Wallet
115,Coffee,Takeaway,2/21/2023,5,2,TXN_3092382,FALSE,Digital Wallet
116,Salad,Takeaway,04-12-2023,2,5,TXN_1001832,FALSE,Cash
117,Juice,Takeaway,3/16/2023,3,3,TXN_1535311,TRUE,Cash
118,Juice,Takeaway,01-10-2023,5,3,TXN_2148617,TRUE,Digital Wallet
119,black forest,In-store,02-06-2023,5,3.394257204,TXN_4633784,FALSE,Cash
120,Salad,Takeaway,2/24/2023,2,5,TXN_4368416,FALSE,Credit Card
121,Cake,Takeaway,06-02-2023,2,3,TXN_9790731,TRUE,Credit Card
122,Coffee,Takeaway,3/29/2023,3,2,TXN_9339456,TRUE,Cash
123,Cake,Takeaway,6/18/2023,2,3,TXN_5179020,TRUE,Cash
124,Coffee,In-store,9/23/2023,5,2,TXN_6258471,FALSE,Digital Wallet
125,Juice,Takeaway,1/14/2023,3,3,TXN_7945375,TRUE,Cash
126,Tea,In-store,9/14/2023,4,5,TXN_4685453,TRUE,Cash
127,Juice,Takeaway,9/16/2023,5,3,TXN_9646452,FALSE,Credit Card
128,Smoothie,Takeaway,12/28/2023,4,4,TXN_9096052,FALSE,Credit Card
129,Juice,Takeaway,02-06-2023,2,3,TXN_5916991,TRUE,Digital Wallet
130,Sandwich,In-store,03-11-2023,2,4,TXN_3407169,TRUE,Cash
131,Tea,Takeaway,04-08-2023,1,5,TXN_2277042,TRUE,Cash
132,Tea,Takeaway,12/19/2023,1,5,TXN_9273729,TRUE,Cash
133,Juice,Takeaway,7/14/2023,4,3,TXN_2181545,FALSE,Credit Card
134,Juice,In-store,4/18/2023,5,3,TXN_1150033,FALSE,Cash
135,Juice,Takeaway,06-08-2023,2,3,TXN_1443912,TRUE,Cash
136,Tea,Takeaway,12-12-2023,5,5,TXN_8700451,FALSE,Credit Card
137,Coffee,In-store,01-05-2023,5,2,TXN_6380550,FALSE,Cash
138,Salad,In-store,06-10-2023,3,5,TXN_4885518,FALSE,Credit Card
139,Sandwich,In-store,1/23/2023,5,4,TXN_3972167,FALSE,Cash
140,Tea,Takeaway,2/20/2023,1,5,TXN_4878378,TRUE,Credit Card
141,Cake,Takeaway,7/19/2023,3,3,TXN_2484241,TRUE,Digital Wallet
142,Cake,In-store,12-06-2023,5,3,TXN_2368126,FALSE,Cash
143,Coffee,Takeaway,06-10-2023,1,2,TXN_7943008,FALSE,Credit Card
144,Juice,Takeaway,5/31/2023,1,3,TXN_8495063,TRUE,Cash
145,Salad,Takeaway,08-11-2023,2,5,TXN_4811133,FALSE,Cash
146,Tea,In-store,09-03-2023,5,5,TXN_8729570,FALSE,Credit Card
147,Cake,In-store,07-11-2023,2,3,TXN_7623634,FALSE,Credit Card
148,Salad,In-store,06-06-2023,4,3,TXN_9336980,FALSE,Cash
149,Cake,Takeaway,1/18/2023,4,3,TXN_3424331,FALSE,Cash
150,Cake,Takeaway,3/23/2023,2,3,TXN_5072031,TRUE,Cash
151,Salad,Takeaway,06-10-2023,5,5,TXN_8687151,TRUE,Cash
152,fresh juice,Takeaway,01-04-2023,4,3.394257204,TXN_4031509,FALSE,Credit Card
153,Coffee,Takeaway,6/23/2023,1,2,TXN_5265095,FALSE,Gpay
154,hot chocolate,In-store,11/25/2023,1,3,TXN_6541415,FALSE,Cash
155,Coffee,Takeaway,08-03-2023,5,2,TXN_4108138,FALSE,Cash
156,Smoothie,Takeaway,07-12-2023,2,4,TXN_1909796,TRUE,Cash
157,Coffee,In-store,4/30/2023,3,2,TXN_1928241,TRUE,Cash
158,Salad,In-store,11/25/2023,5,5,TXN_4283157,TRUE,Digital Wallet
159,Coffee,Takeaway,03-07-2023,2,2,TXN_8013032,TRUE,Credit Card
160,Juice,In-Store,6/27/2023,2,3,TXN_8301424,TRUE,Cash
161,Sandwich,Takeaway,06-04-2023,3,4,TXN_1093800,FALSE,Cash
162,Juice,In-store,11-02-2023,1,3,TXN_7965998,TRUE,Credit Card
163,Cookie,Takeaway,7/31/2023,1,3,TXN_9238666,FALSE,Gpay
164,Tea,In-store,9/19/2023,2,5,TXN_1631695,TRUE,Cash
165,Cake,In-Store,02-09-2023,5,3.394257204,TXN_1435086,FALSE,Cash
166,hot chocolate,Takeaway,09-04-2023,5,4,TXN_3226832,FALSE,Cash
167,Sandwich,Takeaway,5/21/2023,3,4,TXN_1648671,FALSE,Cash
168,Cake,In-store,07-02-2023,3,3,TXN_4062737,TRUE,Cash
169,fresh juice,Takeaway,07-10-2023,2,4,TXN_3494565,TRUE,Gpay
170,Cookie,In-store,11/21/2023,4,1,TXN_9249507,TRUE,Credit Card
171,Sandwich,Takeaway,12-02-2023,4,4,TXN_4689500,FALSE,Cash
172,Tea,Takeaway,11/25/2023,2,5,TXN_8989148,FALSE,Cash
173,Coffee,In-store,4/17/2023,3,2,TXN_8316826,TRUE,Cash
174,Cookie,In-store,3/13/2023,3,1,TXN_9836934,TRUE,Digital Wallet
175,Cake,In-store,08-12-2023,3,3,TXN_8005489,TRUE,Cash
176,Cookie,Takeaway,06-04-2023,5,1,TXN_6463132,TRUE,Credit Card
177,Cookie,In-store,2/16/2023,3,1,TXN_3925836,TRUE,Digital Wallet
178,Salad,In-store,9/23/2023,5,5,TXN_1896955,TRUE,Cash
179,Smoothie,Takeaway,04-11-2023,5,4,TXN_5075974,FALSE,Digital Wallet
180,Smoothie,In-store,3/13/2023,5,4,TXN_3978874,FALSE,Credit Card
181,Sandwich,Takeaway,11-07-2023,1,4,TXN_8955912,TRUE,Cash
182,Smoothie,Takeaway,3/26/2023,3,4,TXN_1136554,FALSE,Credit Card
183,Cake,Takeaway,11-01-2023,2,3,TXN_8007337,TRUE,Digital Wallet
184,Salad,Takeaway,7/22/2023,1,5,TXN_8129834,TRUE,Cash
185,hot chocolate,Takeaway,11-03-2023,1,4,TXN_3831848,TRUE,Digital Wallet
186,Cake,In-store,9/14/2023,3,3,TXN_5365809,TRUE,Cash
187,Smoothie,Takeaway,7/26/2023,2,3.394257204,TXN_8166407,TRUE,Cash
188,Smoothie,In-store,2/28/2023,5,4,TXN_6629480,FALSE,Credit Card
189,Coffee,In-store,1/27/2023,4,2,TXN_3833797,TRUE,Credit Card
190,Cookie,Takeaway,12-06-2023,1,1,TXN_2643815,TRUE,Gpay
191,Cake,Takeaway,1/19/2023,5,3,TXN_2996519,FALSE,Cash
192,Smoothie,Takeaway,2/20/2023,1,4,TXN_8810894,TRUE,Cash
193,Juice,In-store,04-07-2023,4,3,TXN_7412722,FALSE,Cash
194,Smoothie,In-store,3/20/2023,2,4,TXN_3937509,TRUE,Cash
195,Cookie,Takeaway,2/16/2023,3,1,TXN_6000201,TRUE,Cash
196,Cookie,In-store,12/27/2023,4,1,TXN_1714274,TRUE,Cash
197,Tea,In-store,10/26/2023,2,5,TXN_3800182,TRUE,Cash
198,fresh juice,Takeaway,2/18/2023,5,3,TXN_5115080,FALSE,Credit Card
199,Juice,Takeaway,04-11-2023,5,3,TXN_9788956,FALSE,Gpay
200,Juice,Takeaway,5/15/2023,3,3,TXN_6311602,TRUE,Credit Card
201,Coffee,Takeaway,12-10-2023,2,2,TXN_2950680,TRUE,Credit Card
202,Cake,Takeaway,8/15/2023,2,3,TXN_6749847,TRUE,Credit Card
203,Smoothie,In-store,4/21/2023,1,4,TXN_2143187,TRUE,Cash
204,fresh juice,Takeaway,10/28/2023,3,3,TXN_8964522,TRUE,Credit Card
205,Coffee,Takeaway,02-04-2023,3,2,TXN_4088917,TRUE,Cash
206,Cookie,In-store,4/15/2023,1,1,TXN_3779366,FALSE,Digital Wallet
207,Smoothie,In-store,11-12-2023,1,4,TXN_7724048,TRUE,Gpay
208,Tea,Takeaway,08-05-2023,5,5,TXN_2698591,FALSE,Cash
209,Smoothie,In-store,05-10-2023,3,4,TXN_3171373,FALSE,Credit Card
210,Sandwich,Takeaway,06-10-2023,2,4,TXN_4129248,TRUE,Credit Card
211,Smoothie,In-store,7/15/2023,5,4,TXN_6498163,FALSE,Cash
212,black forest,Takeaway,11/15/2023,3,5,TXN_6717827,FALSE,Digital Wallet
213,Salad,Takeaway,01-11-2023,3,5,TXN_9089898,FALSE,Credit Card
214,Cake,Takeaway,10-01-2023,1,5,TXN_8587583,TRUE,Cash
215,Salad,In-store,05-04-2023,5,5,TXN_8693704,TRUE,Cash
216,Salad,In-store,4/26/2023,4,5,TXN_3857960,FALSE,Cash
217,black forest,Takeaway,8/25/2023,4,4,TXN_3499124,FALSE,Credit Card
218,Salad,In-store,5/28/2023,1,5,TXN_9250710,TRUE,Cash
219,Juice,Takeaway,4/30/2023,1,3,TXN_7058377,TRUE,Cash
220,Salad,In-Store,1/14/2023,1,5,TXN_6766492,TRUE,Cash
221,Coffee,In-store,03-01-2023,4,2,TXN_9879996,TRUE,Digital Wallet
222,Cake,In-store,11/13/2023,3,3,TXN_4291940,TRUE,Credit Card
223,Cookie,Takeaway,07-09-2023,2,1,TXN_7433461,FALSE,Digital Wallet
224,Salad,Takeaway,5/13/2023,2,5,TXN_4068262,FALSE,Credit Card
225,Cookie,In-store,04-12-2023,1,1,TXN_5761073,FALSE,Cash
226,Salad,Takeaway,12/27/2023,1,5,TXN_5047447,TRUE,Digital Wallet
227,Cookie,Takeaway,5/18/2023,5,1,TXN_6623508,TRUE,Digital Wallet
228,hot chocolate,Takeaway,04-04-2023,3,4,TXN_2651216,FALSE,Cash
229,Cake,Takeaway,1/17/2023,1,3,TXN_9350833,TRUE,Cash
230,Cake,In-store,7/14/2023,5,3,TXN_8377564,FALSE,Cash
231,Salad,In-Store,3/29/2023,1,5,TXN_7031118,TRUE,Credit Card
232,Cake,Takeaway,9/22/2023,4,3,TXN_2230167,FALSE,Digital Wallet
233,Tea,Takeaway,9/30/2023,3,5,TXN_6446616,TRUE,Gpay
234,Cake,In-Store,8/22/2023,4,3,TXN_1721827,FALSE,Digital Wallet
235,Smoothie,In-Store,7/27/2023,1,4,TXN_6334895,TRUE,Credit Card
236,black forest,In-store,12/30/2023,1,4,TXN_7077119,TRUE,Digital Wallet
237,Salad,In-store,5/18/2023,5,5,TXN_8562645,TRUE,Cash
238,Coffee,In-store,12/21/2023,4,2,TXN_4700144,TRUE,Cash
239,Sandwich,In-store,9/28/2023,5,4,TXN_5526852,FALSE,Digital Wallet
240,Salad,In-store,11/16/2023,3,3.394257204,TXN_6846228,FALSE,Cash
241,Juice,Takeaway,4/14/2023,4,3,TXN_8570890,FALSE,Cash
242,black forest,In-store,01-03-2023,2,5,TXN_3205009,TRUE,Cash
243,Tea,In-store,10/20/2023,3,5,TXN_3786188,TRUE,Credit Card
244,Coffee,Takeaway,01-12-2023,4,2,TXN_4530804,TRUE,Cash
245,Sandwich,In-store,8/31/2023,3,4,TXN_9642066,FALSE,Credit Card
246,Juice,Takeaway,07-07-2023,2,3,TXN_7328294,TRUE,Cash
247,Tea,Takeaway,06-04-2023,2,5,TXN_1908636,TRUE,Cash
248,fresh juice,In-store,9/15/2023,5,5,TXN_9238066,FALSE,Digital Wallet
249,Cake,Takeaway,10/21/2023,2,3,TXN_5415901,TRUE,Digital Wallet
250,black forest,Takeaway,3/30/2023,2,3,TXN_6714420,TRUE,Credit Card
251,Juice,Takeaway,09-02-2023,2,3,TXN_6616971,TRUE,Digital Wallet
252,Salad,In-store,12/13/2023,3,5,TXN_7803615,FALSE,Cash
253,Cookie,Takeaway,06-04-2023,5,1,TXN_7549542,TRUE,Cash
254,Tea,In-store,7/14/2023,4,5,TXN_3544789,TRUE,Credit Card
255,Salad,In-store,05-10-2023,1,5,TXN_1583597,TRUE,Cash
256,Cookie,Takeaway,8/19/2023,2,1,TXN_8472308,FALSE,Digital Wallet
257,Smoothie,Takeaway,3/31/2023,5,4,TXN_1967565,FALSE,Credit Card
258,Sandwich,Takeaway,01-06-2023,2,4,TXN_2029497,TRUE,Cash
259,black forest,Takeaway,10-02-2023,3,3,TXN_8929774,TRUE,Cash
260,Cookie,Takeaway,04-12-2023,4,1,TXN_5003018,TRUE,Digital Wallet
261,Sandwich,Takeaway,07-10-2023,5,4,TXN_7852990,FALSE,Digital Wallet
262,Salad,Takeaway,10/13/2023,2,5,TXN_2534066,FALSE,Cash
263,Tea,In-store,5/29/2023,1,5,TXN_2059647,TRUE,Digital Wallet
264,Smoothie,In-store,07-07-2023,5,4,TXN_2485183,FALSE,Cash
265,Sandwich,Takeaway,5/29/2023,1,4,TXN_7374846,TRUE,Credit Card
266,Sandwich,In-store,11/16/2023,4,4,TXN_9401522,FALSE,Digital Wallet
267,Sandwich,In-store,3/13/2023,4,4,TXN_8250651,FALSE,Digital Wallet
268,Cake,Takeaway,5/22/2023,4,3,TXN_7191245,FALSE,Cash
269,Cake,Takeaway,11/23/2023,5,3,TXN_8982764,FALSE,Digital Wallet
270,fresh juice,Takeaway,10/15/2023,4,3,TXN_8669422,FALSE,Cash
271,Smoothie,Takeaway,11-03-2023,5,4,TXN_1153869,FALSE,Credit Card
272,Sandwich,Takeaway,06-08-2023,3,4,TXN_5043774,FALSE,Cash
273,Salad,Takeaway,11/14/2023,1,5,TXN_1746320,TRUE,Cash
274,Cookie,In-store,09-12-2023,1,1,TXN_1077129,FALSE,Cash
275,Sandwich,In-store,11/26/2023,1,4,TXN_4865338,FALSE,Cash
276,Smoothie,Takeaway,10/13/2023,1,4,TXN_5616583,TRUE,Cash
277,Cookie,Takeaway,11-03-2023,2,1,TXN_2078474,FALSE,Cash
278,Smoothie,Takeaway,11/13/2023,5,4,TXN_2130245,FALSE,Credit Card
279,Juice,Takeaway,4/15/2023,1,3,TXN_3229409,TRUE,Cash
280,Cake,Takeaway,12/17/2023,1,3,TXN_9076216,TRUE,Cash
281,Tea,Takeaway,3/13/2023,5,5,TXN_6371987,TRUE,Credit Card
282,black forest,Takeaway,05-09-2023,2,2,TXN_9913877,TRUE,Credit Card
283,Smoothie,In-Store,10/22/2023,1,4,TXN_2084377,TRUE,Credit Card
284,black forest,Takeaway,6/23/2023,4,1,TXN_1842675,TRUE,Credit Card
285,Cookie,Takeaway,6/30/2023,1,1,TXN_8605813,FALSE,Cash
286,Sandwich,In-store,5/13/2023,5,4,TXN_9755352,FALSE,Cash
287,Juice,In-store,06-10-2023,5,3,TXN_7550498,FALSE,Cash
288,Coffee,Takeaway,4/25/2023,1,2,TXN_2305908,TRUE,Cash
289,hot chocolate,Takeaway,5/27/2023,3,4,TXN_6953697,FALSE,Cash
290,fresh juice,In-store,2/19/2023,4,5,TXN_3495950,TRUE,Credit Card
291,Tea,In-store,12-11-2023,5,5,TXN_7557340,FALSE,Credit Card
292,Smoothie,In-store,4/25/2023,1,4,TXN_1157817,TRUE,Digital Wallet
293,Tea,In-store,10-12-2023,3,5,TXN_2020318,TRUE,Digital Wallet
294,Coffee,Takeaway,8/30/2023,5,2,TXN_8692094,FALSE,Cash
295,Cake,Takeaway,10/21/2023,3,3,TXN_5307411,TRUE,Digital Wallet
296,Coffee,Takeaway,11-02-2023,3,2,TXN_9703120,TRUE,Credit Card
297,Juice,Takeaway,9/19/2023,1,3,TXN_1289133,TRUE,Cash
298,Cake,Takeaway,07-04-2023,3,3,TXN_2031459,TRUE,Cash
299,Smoothie,Takeaway,1/28/2023,1,4,TXN_1333682,TRUE,Digital Wallet
300,Cookie,In-store,10-04-2023,2,3.394257204,TXN_2256622,FALSE,Cash
301,Tea,Takeaway,04-12-2023,2,5,TXN_1623966,TRUE,Cash
302,Smoothie,In-store,2/26/2023,3,4,TXN_4912930,FALSE,Credit Card
303,Coffee,Takeaway,1/15/2023,2,2,TXN_4942692,TRUE,Cash
304,Tea,In-store,5/18/2023,3,5,TXN_3723007,TRUE,Digital Wallet
305,Sandwich,Takeaway,05-03-2023,3,4,TXN_7922392,FALSE,Cash
306,Salad,Takeaway,11-06-2023,3,5,TXN_7498727,FALSE,Cash
307,Cookie,In-store,10-11-2023,1,1,TXN_1222338,FALSE,Cash
308,Smoothie,Takeaway,2/25/2023,3,4,TXN_6878866,FALSE,Credit Card
309,Cookie,In-store,06-04-2023,4,1,TXN_1260335,TRUE,Digital Wallet
310,Smoothie,Takeaway,09-10-2023,2,4,TXN_9223242,TRUE,Cash
311,Smoothie,Takeaway,08-11-2023,2,4,TXN_6244211,TRUE,Cash
312,fresh juice,In-store,11-07-2023,1,1,TXN_5446858,FALSE,Cash
313,Tea,Takeaway,2/14/2023,3,5,TXN_4612864,TRUE,Cash
314,Cookie,Takeaway,4/28/2023,5,1,TXN_5411381,FALSE,Cash
315,Cookie,Takeaway,09-06-2023,1,1,TXN_3047598,FALSE,Cash
316,Coffee,Takeaway,01-10-2023,2,3.394257204,TXN_5754317,TRUE,Credit Card
317,Sandwich,In-store,4/23/2023,3,4,TXN_7496926,FALSE,Gpay
318,Smoothie,In-store,06-04-2023,3,4,TXN_1726858,FALSE,Cash
319,Salad,Takeaway,2/26/2023,4,5,TXN_7559388,FALSE,Digital Wallet
320,Cookie,In-store,1/22/2023,3,1,TXN_8540499,TRUE,Cash
321,Cookie,In-store,03-10-2023,3,1,TXN_4225756,TRUE,Cash
322,Cookie,Takeaway,1/28/2023,4,1,TXN_6795640,TRUE,Digital Wallet
323,Coffee,Takeaway,08-11-2023,5,2,TXN_6702428,FALSE,Cash
324,black forest,Takeaway,11/18/2023,2,4,TXN_8955259,TRUE,Credit Card
325,Coffee,Takeaway,01-09-2023,5,2,TXN_4639319,FALSE,Cash
326,Coffee,In-store,12-03-2023,5,2,TXN_5997803,FALSE,Cash
327,black forest,Takeaway,10/26/2023,4,2,TXN_1340956,TRUE,Cash
328,Sandwich,In-store,10-08-2023,1,4,TXN_1259671,FALSE,Digital Wallet
329,Juice,Takeaway,08-06-2023,1,3,TXN_8319993,TRUE,Digital Wallet
330,Sandwich,Takeaway,06-10-2023,4,4,TXN_8894157,FALSE,Credit Card
331,Salad,Takeaway,07-02-2023,5,5,TXN_5523450,TRUE,Credit Card
332,Sandwich,In-store,6/15/2023,3,4,TXN_7838964,FALSE,Credit Card
333,Smoothie,Takeaway,01-11-2023,5,4,TXN_2773987,FALSE,Gpay
334,Tea,Takeaway,10-02-2023,1,3,TXN_1158829,TRUE,Credit Card
